Website,Link,Network operator,Link Load time,Link dead or not
,https://www.usa.gov/family-legal,Airtel,1316.2,N
,https://www.usa.gov/genealogy,Airtel,1199.8,N
,https://www.usa.gov/legal-aid,Airtel,1124.4,N
,https://www.usa.gov/replace-vital-documents,Airtel,1267.8,N
,https://www.usa.gov/#,Airtel,1122,N
,https://www.usa.gov/common-scams-frauds,Airtel,1393.2,N
,https://www.usa.gov/housing-scams,Airtel,1256.4,N
,https://www.usa.gov/identity-theft,Airtel,1348.8,N
,https://www.usa.gov/irs-scams,Airtel,1266,N
,https://www.usa.gov/online-safety,Airtel,1181.6,N
,https://www.usa.gov/privacy,Airtel,1301.8,N
,https://www.usa.gov/stop-scams-frauds,Airtel,1351.6,N
,https://www.usa.gov/government-works,Airtel,930.8,N
,https://www.usa.gov/#,Airtel,926.6,N
,https://www.usa.gov/election-results,Airtel,990.8,N
,https://www.usa.gov/voter-id,Airtel,904,N
,https://www.usa.gov/voting-laws,Airtel,924,N
,https://www.usa.gov/who-can-vote,Airtel,887.2,N
,https://www.usa.gov/disability-rights,Airtel,1027.4,N
,https://www.usa.gov/life-in-the-us,Airtel,1012.6,N
,https://www.usa.gov/presidents,Airtel,1461.2,N
,https://www.usa.gov/#,Airtel,985,N
,https://www.usa.gov/finding-home,Airtel,1635.2,N
,https://www.usa.gov/benefits,Airtel,1310.6,N
,https://www.usa.gov/financial-aid,Airtel,1073.2,N
,https://www.usa.gov/food-help,Airtel,1140.4,N
,https://www.usa.gov/grants,Airtel,1010,N
,https://www.usa.gov/help-with-bills,Airtel,873,N
,https://www.usa.gov/military-assistance,Airtel,1325.2,N
,https://www.usa.gov/retirement,Airtel,2165.6,N
,https://www.usa.gov/about-social-security,Airtel,1084.2,N
,https://www.usa.gov/state-social-services,Airtel,980,N
,https://www.usa.gov/unemployment,Airtel,934.8,N
,https://www.usa.gov/#,Airtel,1420,N
,https://www.usa.gov/#,Airtel,1170,N
,https://www.usa.gov/complaint-against-government,Airtel,1044.2,N
,https://www.usa.gov/consumer-complaints,Airtel,983.2,N
,https://www.usa.gov/#,Airtel,970.4,N
,https://www.usa.gov/complaints-lender,Airtel,1103.4,N
,https://www.usa.gov/car-complaints,Airtel,1071.2,N
,https://www.usa.gov/housing-complaints,Airtel,1362,N
,https://www.usa.gov/phone-tv-complaints,Airtel,1319.2,N
,https://www.usa.gov/travel-complaint,Airtel,1431.2,N
,https://www.usa.gov/post-office,Airtel,1009.6,N
,https://www.usa.gov/complaint-letter,Airtel,1122.2,N
,https://www.usa.gov/#,Airtel,1134.4,N
,https://www.usa.gov/#,Airtel,879.6,N
,https://www.usa.gov/finding-home,Airtel,921,N
,https://www.usa.gov/benefits,Airtel,804.4,N
,https://www.usa.gov/financial-aid,Airtel,908.2,N
,https://www.usa.gov/food-help,Airtel,965.8,N
,https://www.usa.gov/grants,Airtel,1171.2,N
,https://www.usa.gov/help-with-bills,Airtel,1050.8,N
,https://www.usa.gov/military-assistance,Airtel,911.6,N
,https://www.usa.gov/retirement,Airtel,1466.8,N
,https://www.usa.gov/about-social-security,Airtel,833,N
,https://www.usa.gov/state-social-services,Airtel,761.8,N
,https://www.usa.gov/unemployment,Airtel,954.6,N
,https://www.usa.gov/#,Airtel,833.8,N
,https://www.usa.gov/credit,Airtel,1001.6,N
,https://www.usa.gov/credit-reports,Airtel,1499.8,N
,https://www.usa.gov/debt,Airtel,936.8,N
,https://www.usa.gov/currency,Airtel,910.6,N
,https://www.usa.gov/#,Airtel,938.2,N
,https://www.usa.gov/finding-home,Airtel,917.4,N
,https://www.usa.gov/foreclosure,Airtel,976.4,N
,https://www.usa.gov/buying-home,Airtel,931.8,N
,https://www.usa.gov/housing-help-audiences,Airtel,969.8,N
,https://www.usa.gov/housing-scams,Airtel,949,N
,https://www.usa.gov/housing-complaints,Airtel,657.8,N
,https://www.usa.gov/mortgages,Airtel,1018.6,N
,https://www.usa.gov/moving,Airtel,837,N
,https://www.usa.gov/repairing-home,Airtel,807.6,N
,https://www.usa.gov/post-office,Airtel,721.6,N
,https://www.usa.gov/retirement,Airtel,950.8,N
,https://www.usa.gov/#,Airtel,911.6,N
,https://www.usa.gov/cars,Airtel,822.8,N
,https://www.usa.gov/donate-to-charity,Airtel,1050.4,N
,https://www.usa.gov/mortgages,Airtel,902.4,N
,https://www.usa.gov/retirement,Airtel,901.2,N
,https://www.usa.gov/state-lotteries,Airtel,939.6,N
,https://www.usa.gov/#,Airtel,1016.2,N
,https://www.usa.gov/filing-taxes-topics,Airtel,731.6,N
,https://www.usa.gov/irs-scams,Airtel,832,N
,https://www.usa.gov/resolve-tax-disputes,Airtel,856,N
,https://www.usa.gov/business-taxes,Airtel,725.6,N
,https://www.usa.gov/state-taxes,Airtel,1024.2,N
,https://www.usa.gov/check-tax-status,Airtel,1055.2,N
,https://www.usa.gov/check-tax-withholding,Airtel,898,N
,https://www.usa.gov/unclaimed-money,Airtel,931.2,N
,https://www.usa.gov/recalls,Airtel,886.8,N
,https://www.usa.gov/#,Airtel,816.6,N
,https://www.usa.gov/common-scams-frauds,Airtel,1179.4,N
,https://www.usa.gov/housing-scams,Airtel,829,N
,https://www.usa.gov/identity-theft,Airtel,875.6,N
,https://www.usa.gov/irs-scams,Airtel,720.8,N
,https://www.usa.gov/online-safety,Airtel,829.4,N
,https://www.usa.gov/privacy,Airtel,856.4,N
,https://www.usa.gov/stop-scams-frauds,Airtel,911.8,N
,https://www.usa.gov/state-consumer,Airtel,787.8,N
,https://www.usa.gov/telemarketing,Airtel,874.6,N
,https://www.usa.gov/#,Airtel,917,N
,https://www.usa.gov/covid-vaccine-and-testing,Airtel,826,N
,https://www.usa.gov/covid-small-business-loans,Airtel,803,N
,https://www.usa.gov/covid-unemployment-benefits,Airtel,831.4,N
,https://www.usa.gov/covid-stimulus-checks,Airtel,941.6,N
,https://www.usa.gov/covid-financial-help-from-the-government,Airtel,956.6,N
,https://www.usa.gov/federal-covid-response,Airtel,980.8,N
,https://www.usa.gov/covid-passports-and-travel,Airtel,1163.8,N
,https://www.usa.gov/covid-scams,Airtel,899.6,N
,https://www.usa.gov/#,Airtel,842.2,N
,https://www.usa.gov/disability-benefits-insurance,Airtel,1024,N
,https://www.usa.gov/disability-caregiver,Airtel,981.8,N
,https://www.usa.gov/disability-financial-support,Airtel,743.4,N
,https://www.usa.gov/disability-programs,Airtel,805,N
,https://www.usa.gov/disability-jobs-education,Airtel,963.2,N
,https://www.usa.gov/disability-veterans-benefits,Airtel,980.4,N
,https://www.usa.gov/disability-rights,Airtel,902.4,N
,https://www.usa.gov/#,Airtel,927.8,N
,https://www.usa.gov/after-disaster,Airtel,836.8,N
,https://www.usa.gov/#,Airtel,771,N
,https://www.usa.gov/disaster-help-workers-businesses,Airtel,1074,N
,https://www.usa.gov/disaster-help-food-housing-bills,Airtel,928.2,N
,https://www.usa.gov/disaster-area-help,Airtel,939,N
,https://www.usa.gov/help-disaster-survivors,Airtel,920,N
,https://www.usa.gov/state-emergency-management,Airtel,806.2,N
,https://www.usa.gov/#,Airtel,897.2,N
,https://www.usa.gov/#,Airtel,912.2,N
,https://www.usa.gov/after-disaster,Airtel,863.6,N
,https://www.usa.gov/#,Airtel,859.4,N
,https://www.usa.gov/disaster-help-workers-businesses,Airtel,849.8,N
,https://www.usa.gov/disaster-help-food-housing-bills,Airtel,806.8,N
,https://www.usa.gov/disaster-area-help,Airtel,980.4,N
,https://www.usa.gov/help-disaster-survivors,Airtel,955.6,N
,https://www.usa.gov/state-emergency-management,Airtel,1545.2,N
,https://www.usa.gov/pollution,Airtel,912.8,N
,https://www.usa.gov/#,Airtel,936.4,N
,https://www.usa.gov/higher-education,Airtel,917.4,N
,https://www.usa.gov/financial-aid,Airtel,694.8,N
,https://www.usa.gov/child-care,Airtel,1059.2,N
,https://www.usa.gov/study-in-US,Airtel,925,N
,https://www.usa.gov/libraries,Airtel,1195.8,N
,https://www.usa.gov/student-loans,Airtel,1063,N
,https://www.usa.gov/#,Airtel,880.6,N
,https://www.usa.gov/federal-agencies,Airtel,1000.6,N
,https://www.usa.gov/#,Airtel,1002.8,N
,https://www.usa.gov/flag,Airtel,966.4,N
,https://www.usa.gov/branches-of-government,Airtel,1009.8,N
,https://www.usa.gov/budget,Airtel,894,N
,https://www.usa.gov/statistics,Airtel,910.8,N
,https://www.usa.gov/history,Airtel,927.6,N
,https://www.usa.gov/#,Airtel,948.2,N
,https://www.usa.gov/complaints,Airtel,822.8,N
,https://www.usa.gov/crime-prison,Airtel,924.4,N
,https://www.usa.gov/laws-and-regs,Airtel,861.4,N
